"1","10 TICKETS LEFT! CyberTalks #fintech #cybersecurity event 24 April 2019 👉 … Speakers:…",FALSE,0,NA,2019-04-16 09:32:18,TRUE,NA,"1118084695101718528",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","CyberTalkLDN",0,FALSE,FALSE,NA,NA
"2","@Safetica made it among the best experts on #dataprotection. And it’s the only Czech company to be included in…",FALSE,0,"Safetica",2019-04-16 09:32:07,TRUE,NA,"1118084645151760389","413875120","<a href=\"https://www.kontentino.com\" rel=\"nofollow\">Kontentino</a>","brnoregion",0,FALSE,FALSE,NA,NA
"3","Dark Data as a Subset of Big Data Proving to be of Importance #CyberSecurity #BigData",FALSE,0,NA,2019-04-16 09:31:48,FALSE,NA,"1118084567712325633",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","CSDistrict",0,FALSE,FALSE,NA,NA
"4","We need to adjust the mindset to security being an enabler and not an obstacle @ranio1 @AquaSecTeam…",FALSE,0,NA,2019-04-16 09:30:10,TRUE,NA,"1118084155844321280",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","journoian",0,FALSE,FALSE,NA,NA
"5","What is AI fuzzing? And why is may be the next big Cybersecurity threat.",FALSE,0,NA,2019-04-16 09:30:08,TRUE,NA,"1118084146511929344",NA,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","saltcontrol",0,FALSE,FALSE,NA,NA
"6","Avoiding Holiday Hackers #cybersecurity #tips",FALSE,0,NA,2019-04-16 09:30:05,FALSE,NA,"1118084133497049088",NA,"<a href=\"https://socialposterfire.com\" rel=\"nofollow\">Social Poster Fire</a>","afvoct",0,FALSE,FALSE,NA,NA
"7","65% of survey respondents believe that Technology/Analytics/Cybersecurity will be the most in demand function this…",FALSE,0,NA,2019-04-16 09:30:04,TRUE,NA,"1118084131148173313",NA,"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>","KarenGreenbaum",0,FALSE,FALSE,NA,NA
"8","Boards should have adequate access to cybersecurity expertise &amp; discussions about cyber-risk management should be g…",FALSE,0,NA,2019-04-16 09:30:00,TRUE,NA,"1118084115654414336",NA,"<a href=\"https://www.sprinklr.com\" rel=\"nofollow\">Sprinklr</a>","AIGemea",0,FALSE,FALSE,NA,NA
"9","#CyberSecurity #Hacker We Are Legion: The Story of the Hacktivists -",FALSE,0,NA,2019-04-16 09:30:00,FALSE,NA,"1118084114584940544",NA,"<a href=\"http://www.tobem.com/cyberwar\" rel=\"nofollow\">CyberDomain</a>","CyberDomain",0,FALSE,FALSE,NA,NA
"10","What's the word? Contribute to our list of #cybersecurity terms to know",FALSE,0,NA,2019-04-16 09:30:00,FALSE,NA,"1118084113947332610",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","cyberpros",0,FALSE,FALSE,NA,NA
