Week,A(H3N2v),A (H1N1)pdm09,A(H3),A(unable to sub-type),A(Subtyping not performed),B,BVIC,BYAM,Total # Tested
201840,0,29,11,0,7,0,7,11,793
201841,0,52,11,0,7,5,3,5,898
201842,0,51,21,0,13,1,2,14,1086
201843,0,74,35,0,3,3,0,13,1089
201844,0,82,23,0,2,1,1,8,1217
201845,0,117,27,0,14,4,4,7,1306
201846,0,147,40,0,9,0,2,3,1393
201847,0,211,53,0,9,1,2,5,1101
201848,0,316,63,0,9,1,2,10,1672
201849,0,342,88,0,14,7,3,7,1628
201850,0,641,161,0,16,3,7,6,2068
201851,0,1024,195,0,78,9,20,7,2416
201852,0,1127,222,0,102,10,18,6,2283
201901,0,1048,249,0,161,6,4,10,2542
201902,0,1278,201,0,47,9,1,11,2897
201903,0,1235,291,0,38,9,13,14,2742
201904,0,1125,358,0,46,12,14,9,2474
201905,0,997,481,0,26,8,15,13,2436
201906,0,649,,,,,,,
