no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,Attention @ambrosia_ca shoppers Doncaster @coldQ1 is there #coldQ natural oral spray designed to help your body fig…,FALSE,1,NA,3/7/19 22:00,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",coldQ1,0,FALSE,FALSE,NA,NA
2,"A developing influenza strain, #H3N2, needs more testing before the @US_FDA and @WHO will issue vaccine recommendat…",FALSE,0,NA,3/6/19 17:25,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",aalex413,0,FALSE,FALSE,NA,NA
3,US military suspects it is seeing reduced #Flu #Vaccine effectiveness because it is a highly vaccinated group and r…,FALSE,0,Potrblog,3/6/19 15:44,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
4,This shows the concern with the recent emergence of the #H3N2 #3C3A for this #Flu season and next years too. Feb d…,FALSE,0,Potrblog,3/6/19 15:19,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,1,FALSE,FALSE,NA,NA
5,"#VRBPAC meeting says changes in #H3N2 viruses \EXTRAORDINARY\"" Discussion calls for changing #Quadravalent formulat…""",FALSE,1,Potrblog,3/6/19 14:56,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
6,Latest #H3N2 update from #FDA #VRBPAC meeting,FALSE,0,Potrblog,3/6/19 14:29,FALSE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
7,FDA's #Influenza #Vaccine composition meeting for the US 2019-2020 #FLUshot is live and can be watched at this link…,FALSE,1,Potrblog,3/6/19 13:31,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
8,Attend the #FDA's 2018-2019 #Flu #vaccine selection #WEBEX Wednesday at you want to und…,FALSE,1,Potrblog,3/5/19 16:55,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
9,"@gallus_pallas No, how protected you are from any #H3N2 virus depends on the #Antigenic distance from the infection…",FALSE,0,gallus_pallas,3/5/19 3:29,TRUE,1.10E+18,1.10E+18,133415705,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
10,"We should know more from the Wed 3/6 #VRBPAC #FluShot meeting, until then this chart from the Oct meeting indicates…",FALSE,0,Potrblog,3/5/19 3:12,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
11,"ALERT! A #catastrophic #Flu surge may be rising As warned in Jan, a #H3N2 outbreak has developed but A WORST CASE…",FALSE,0,Potrblog,3/4/19 22:13,TRUE,1.09E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA
12,"Flu question: once you’ve had a particular strain, say H3N2, are you then immune to it thereafter? #flu #H3N2 #sick #influenza",FALSE,0,NA,3/2/19 18:34,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",gallus_pallas,0,FALSE,FALSE,NA,NA
13,"#Flu Update: #H3N2 Reported more frequently than #H1N1 strains in the past three weeks, spreading across country -…",FALSE,0,NA,2/28/19 17:05,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",FluNearYou,0,FALSE,FALSE,NA,NA
14,"Co-circulation of #H1N1pdm09 and #H3N2 viruses, WHO European Region, October 2018 to February 2019 #influenza",FALSE,0,NA,2/28/19 16:14,FALSE,NA,1.10E+18,NA,"<a href=\http://www.typepad.com/\"" rel=\""nofollow\"">Typepad</a>""",Crof,1,FALSE,FALSE,NA,NA
15,"#CDC warns of severe #flu strain 'wave' At start of flu season, the predominant strain was influenza A #H1N1, but n…",FALSE,0,NA,2/26/19 17:11,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",BenjaminHCCarr,0,FALSE,FALSE,NA,NA
16,"Health experts report that a more severe #flu strain accounts for nearly half of all new cases, and #fluseason coul…",FALSE,0,NA,2/26/19 15:15,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",FitzGab,0,FALSE,FALSE,NA,NA
