no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
1,"@genentech supplemental new drug application for Xofluza, being developed to treat patients with #influenza at high…",FALSE,0,genentech,3/8/19 0:45,TRUE,NA,1.10E+18,16150688,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,0,FALSE,FALSE,NA,NA,
2,Heart disease is among the most common chronic conditions in adults hospitalized with #flu. If you have heart disea…,FALSE,5,NA,3/7/19 20:55,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCFlu,10,FALSE,FALSE,NA,NA,NA
3,"Got flu? While there's no \cure\"" for #flu"," there are antiviral medications that can help reduce symptoms and length…""",FALSE,2,NA,3/7/19 20:16,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,0,FALSE,FALSE,NA,
4,This season @Genentech XOFLUZA™ became 1st single-dose oral antiviral approved for #flu treatment in those 12yr of…,FALSE,0,NA,3/7/19 19:15,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,0,FALSE,FALSE,NA,NA,
5,Here’s what to do if you get sick with flu: @CDCgov #fightflu,FALSE,0,NA,3/7/19 18:55,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",TMFQINQIO,0,FALSE,FALSE,NA,NA,
6,"Alabama Lineman Ate Oreos for Breakfast, Then Showed Why He Should Be the No. 1 Pick 20…",FALSE,1,NA,3/7/19 18:51,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,0,FALSE,FALSE,NA,NA,
7,"#REPOST via IG: gabiarse Hello everyone! Three years ago I got flu, pregnant 36 weeks. It was a difficult period,…",FALSE,0,NA,3/7/19 17:14,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,
8,The flu is a contagious respiratory illness that can cause mild to severe illness. Serious outcomes can result in h…,FALSE,2,NA,3/7/19 16:05,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",TulsaHealthDept,0,FALSE,FALSE,NA,NA,
9,"So far this #flu season, 45 people have died of influenza-related issues in San Diego County…",FALSE,0,NA,3/7/19 16:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,1,FALSE,FALSE,NA,NA,
10,There's still time to get your #flu shot! #FightFlu,FALSE,1,NA,3/7/19 15:10,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",SedgwickCounty,0,FALSE,FALSE,NA,NA,
11,"#REPOST via amorxnesha (IG) In order to protect myself and others against the flu, I make sure I am up to date wit…",FALSE,0,NA,3/6/19 23:54,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,
12,5 Persisting Myths About Flu and the Flu Vaccine from @Medscape #fightflu,FALSE,0,NA,3/6/19 21:19,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",tmfhqi,0,FALSE,FALSE,NA,NA,
13,The best way to #FightFlu is to avoid being exposed to the flu. Wash your hands well and often. Avoid sick people.…,FALSE,10,NA,3/6/19 20:41,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",AAFANational,6,FALSE,FALSE,NA,NA,
14,It's not too late to get a #flu vaccine. @CDCgov recommends flu vaccination as long as influenza viruses are circul…,FALSE,6,NA,3/6/19 20:20,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",SedgwickCounty,4,FALSE,FALSE,NA,NA,
15,"A new study finds that children born to women who have had a severe infection during #pregnancy, such as #flu, are…",FALSE,14,NA,3/6/19 19:51,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,5,FALSE,FALSE,NA,NA,
16,Keep your #family #strong. Get #vaccinated! Visit our #blog to see more tips from our staff on #stayingwell this…,FALSE,1,NA,3/6/19 19:30,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ClintonCountyHD,0,FALSE,FALSE,NA,NA,
17,"As #flu season continues @PAHealthDept reports 53,962 flu cases &amp; 68 flu-related deaths so far this season. And tha…",FALSE,1,NA,3/6/19 19:20,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,1,FALSE,FALSE,NA,NA,
18,Children younger than 5 have the second highest flu-related hospitalization rate this #flu season. It's not too lat…,FALSE,2,NA,3/6/19 18:40,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",StateHealthIN,1,FALSE,FALSE,NA,NA,
19,"As flu season continues, @US_FDA and @WHO delay the 2019-2020 flu #vaccine recommendations until late March due to…",FALSE,1,NA,3/6/19 18:26,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,1,FALSE,FALSE,NA,NA,
20,Flu shots are a safe way to protect pregnant women from serious flu complications like pneumonia. Get your shot to…,FALSE,3,NA,3/6/19 17:39,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,
21,Curious about why it’s sometimes possible to contract the #fIu even after getting a #vaccine? Come to my #APS talk…,FALSE,9,NA,3/6/19 15:58,TRUE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",meliabonomo,2,FALSE,FALSE,NA,NA,
22,"Robby General, far right, was a standout performer for our 2018 @outlandtrophy promotional campaign. #FightFlu and…",FALSE,5,NA,3/6/19 15:41,TRUE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",TheFWAA,1,FALSE,FALSE,NA,NA,
23,It’s time to start preparing for next flu season and #fluvax production. @US_FDA is meeting today to begin strain s…,FALSE,6,NA,3/6/19 15:22,TRUE,NA,1.10E+18,NA,"<a href=\https://www.spredfast.com/\"" rel=\""nofollow\"">Spredfast app</a>""",SanofiUS,0,FALSE,FALSE,NA,NA,
24,"If you get sick with #flu, make sure to take steps for a quick, healthy recovery. Stay home and rest, and avoid c…",FALSE,1,NA,3/6/19 15:01,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",Amerigroup,1,FALSE,FALSE,NA,NA,
26,#ICYMI Officials say this #FluSeason has yet to peak! Read our #WellnessWednesday- How to Avoid the #Flu with Nurse…,FALSE,1,NA,3/6/19 14:16,TRUE,NA,1.10E+18,NA,"<a href=\https://www.blog2social.com\"" rel=\""nofollow\"">Blog2Social APP</a>""",HCNowRadio,1,FALSE,FALSE,NA,NA,
27,"#FluFact: Even when well-managed, diabetes can make the immune system less able to fight #flu infection, and flu il…",FALSE,1,NA,3/6/19 11:58,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",BarbaraEbel,1,FALSE,FALSE,NA,NA,
28,"Great reporting, and thanks again for letting me contribute! Definitely not too late to vaccinate #fightflu…",FALSE,12,NA,3/6/19 2:01,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DrBenSpitalnick,2,FALSE,FALSE,NA,NA,
29,@US_FDA Commissioner Scott Gottlieb resigns Thanks for #LeadingByExample and getting…,FALSE,1,US_FDA,3/5/19 21:45,TRUE,NA,1.10E+18,208120290,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,0,FALSE,FALSE,NA,NA,
30,"#FluTip: Having #diabetes is a risk factor for #flu complications. If you get sick, ask your #healthcareprovider ab…",FALSE,1,NA,3/5/19 21:00,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",SNHDinfo,1,FALSE,FALSE,NA,NA,
33,Brrrrrr It’s cold out ! #time for #coldblastertea 😃 #tokeepyouwarm @ocha_teabar . #todaysoup is #tomatodill 👍 .…,FALSE,0,NA,3/5/19 19:09,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",OCHA_TEABAR,0,FALSE,FALSE,-123.1219081,49.27621248,
34,It is not too late to get a flu vaccine. CDC recommends #flu vaccination as long as influenza viruses are circulati…,FALSE,3,NA,3/5/19 17:15,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",FLHealthDuval,3,FALSE,FALSE,NA,NA,
35,"#REPOST via IG: samanthabannar I'm not gonna lie, I have a fear of needles, but with flu season in full force, I b…",FALSE,3,NA,3/5/19 17:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,1,FALSE,FALSE,NA,NA,
37,"CDC estimates that there have been more than 22,000 flu-associated deaths so far this season. #Flu can be a serious…",FALSE,1,NA,3/5/19 16:25,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",CookCtyHealth,1,FALSE,FALSE,NA,NA,
38,Flu activity is widespread in Virginia right now. Be sure you know common flu symptoms and get vaccinated to protec…,FALSE,0,NA,3/5/19 15:54,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",prosperitymd,1,FALSE,FALSE,NA,NA,
