no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Great reporting, and thanks again for letting me contribute! Definitely not too late to vaccinate #fightflu…",FALSE,6,NA,3/6/19 2:01,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DrBenSpitalnick,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,@US_FDA Commissioner Scott Gottlieb resigns Thanks for #LeadingByExample and getting…,FALSE,1,US_FDA,3/5/19 21:45,TRUE,NA,1.10E+18,208120290,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"#FluTip: Having #diabetes is a risk factor for #flu complications. If you get sick, ask your #healthcareprovider ab…",FALSE,1,NA,3/5/19 21:00,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",SNHDinfo,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"#FluFact: Even when well-managed, diabetes can make the immune system less able to fight #flu infection, and flu il…",FALSE,7,NA,3/5/19 20:00,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCFlu,11,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brrrrrr It’s cold out ! #time for #coldblastertea 😃 #tokeepyouwarm @ocha_teabar . #todaysoup is #tomatodill 👍 .…,FALSE,0,NA,3/5/19 19:09,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",OCHA_TEABAR,0,FALSE,FALSE,-123.1219081,49.27621248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,It is not too late to get a flu vaccine. CDC recommends #flu vaccination as long as influenza viruses are circulati…,FALSE,3,NA,3/5/19 17:15,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",FLHealthDuval,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"#REPOST via IG: samanthabannar I'm not gonna lie, I have a fear of needles, but with flu season in full force, I b…",FALSE,1,NA,3/5/19 17:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"If you get sick with #flu, make sure to take steps for a quick, healthy recovery. Stay home and rest, and avoid c…",FALSE,60,NA,3/5/19 16:25,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCgov,46,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"CDC estimates that there have been more than 22,000 flu-associated deaths so far this season. #Flu can be a serious…",FALSE,1,NA,3/5/19 16:25,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",CookCtyHealth,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Flu activity is widespread in Virginia right now. Be sure you know common flu symptoms and get vaccinated to protec…,FALSE,0,NA,3/5/19 15:54,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",prosperitymd,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Happy Mardi Gras! Catch beads, not the flu...find out more prevention tips at #FightTheFlu…",FALSE,0,NA,3/5/19 15:32,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",LouisianaPHB,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Caregivers—do you know the difference between a cold and the #flu? A cold is milder than the flu, but since the flu…",FALSE,1,NA,3/5/19 15:20,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",Alzheimers_NIH,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"If you are at high risk of flu complications, see tips to #fightflu and protect yourself at:",FALSE,13,CDCFlu,3/5/19 14:32,FALSE,1.10E+18,1.10E+18,16616061,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CDCFlu,7,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,We’re conducting an observational study to explore how the #flu affects adults aged 60+. The #data collected will…,FALSE,0,NA,3/5/19 13:09,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",abtassociates,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,#vaccineswork Please be aware of neurologic complications of #influenza it's not always the lungs. #braininjury…,FALSE,0,NA,3/5/19 12:30,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",BBOSmile,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"2 of the NFL Draft’s best players want to buy horses, not cars via @sbnation .@UHCougars' E…",FALSE,2,NA,3/5/19 4:55,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,More Severe Strain of Flu Starting to Spread Widely: CDC #FightFlu,FALSE,0,NA,3/5/19 1:59,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",NCNA,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,#REPOST via zoozoowalla (IG) Better safe than sorry during this flu season. 🤷🏽‍♀️ Up to 50 million people in the U…,FALSE,0,NA,3/4/19 23:24,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"While the severity of this year's #flu season is substantially lower than last season, @CDCflu estimates as many as…",FALSE,3,NA,3/4/19 23:16,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,It's not too late to get a #flu vaccine. It appears that flu season is far from over and after H1N1 viruses predomi…,FALSE,0,NA,3/4/19 22:58,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"During most flu seasons, people 65+ years bear the greatest burden of severe #flu illness. A #flu vaccine is the mo…",FALSE,0,NA,3/4/19 22:21,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",GNRHealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,The last thing we want is more families to loss a loved one to #flu as we have. Yet the latest surveillance reports…,FALSE,4,NA,3/4/19 20:14,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Flu activity remains elevated. The proportion of H3N2 viruses continues to increase and now accounts for slightly m…,FALSE,0,NA,3/4/19 19:25,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
