no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
1,"In case you missed it, check out \Flu Remedies and Prophylaxis\"" #Flu #ImmuneSystem #Herb""",FALSE,0,NA,3/8/19 7:55,FALSE,NA,1.10E+18,NA,"<a href=\https://missinglettr.com\"" rel=\""nofollow\"">Missinglettr</a>""",edipfeiffer,0,FALSE,FALSE,NA,NA,,
2,"With H1N1 becoming a seasonal flu virus strain in India even during summer, it is advisable that health-care worker…",FALSE,0,NA,3/8/19 6:28,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",seekersarticles,0,FALSE,FALSE,NA,NA,,
3,"Ohio boy, 3, dies of complications from flu, reports say #flu #health #ohio",FALSE,0,NA,3/8/19 5:27,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",cpinckard,0,FALSE,FALSE,NA,NA,,
4,@ashok_philip @pseudolokun Here is another article on vaccinated people spreading viruses and infecting others.…,FALSE,0,ashok_philip,3/8/19 5:25,TRUE,1.10E+18,1.10E+18,9.50E+17,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,,
5,Woke up at 0230 with a 101.5 fever. Getting pumped full of meds and fluids compliments of the #flu 😷💉💊 It sure woul…,FALSE,0,NA,3/8/19 4:38,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",griffin_sandi,0,FALSE,FALSE,NA,NA,,
6,"BREAKING: FDA Sued as CDC Recommends Untested, Unlicensed #Flu #Vaccine for Pregnant Women",FALSE,6,NA,3/8/19 4:13,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ViraBurnayeva,2,FALSE,FALSE,NA,NA,,
7,Have you listened to our “Tackling the #Flu Naturally” #podcast series?,FALSE,0,NA,3/8/19 3:49,FALSE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",OscilloUSA,0,FALSE,FALSE,NA,NA,,
8,There is a lot of misinformation out there regarding the flu. @HarvardHealth tries to dispel the 10 most common my…,FALSE,0,NA,3/8/19 3:32,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",PHIAirMed,0,FALSE,FALSE,NA,NA,,
9,Two moods of today; 1. dead on my feet with the #flu 2. drunk off cough syrup.,FALSE,0,NA,3/8/19 3:24,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MaryEli85564602,0,FALSE,FALSE,NA,NA,,
10,"Join us in one week, Dr Matt and Jessica APRN helping our families to “kick the sick” and conquer chronic #colds…",FALSE,0,NA,3/8/19 3:06,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",pwcimpact,0,FALSE,FALSE,NA,NA,,
11,"A must-read Measles, Mumps, Rubella Vaccination and Autism | Ann Intern Med | ACP |",FALSE,1,NA,3/8/19 3:00,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",RDxWhatElse,5,FALSE,FALSE,NA,NA,,
12,stvbrn was home sick also. He got some snuggles too. #noradahmer #flu,FALSE,0,NA,3/8/19 2:59,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",ellenjules,0,FALSE,FALSE,NA,NA,,
13,New pill shows early promise for blocking many strains of #flu,FALSE,2,NA,3/8/19 2:49,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Crof,4,FALSE,FALSE,NA,NA,,
14,😯[INFORM] Did you know that ? #thewavetalk #antibiotic #resistance #bacteria #microbiome #flu #healthcare #IVD,FALSE,0,NA,3/8/19 2:35,FALSE,NA,1.10E+18,NA,"<a href=\http://www.linkedin.com/\"" rel=\""nofollow\"">LinkedIn</a>""",TheWaveTalk,0,FALSE,FALSE,NA,NA,,
15,'Tis the season!! #oiloforegano #cold #cough #flu #strepthroat #naturalhealing #holistichealth,FALSE,0,NA,3/8/19 2:14,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",KomariBathBody,0,FALSE,FALSE,NA,NA,,
