no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
1,Who else feels like some hot buns right now because of this flu that’s been going around! #flu #sick #ugh,FALSE,1,NA,3/6/19 3:31,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",OfficerPie,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
2,The flu sucks monkey balls yo! #seanyo #titanyo #fatherandsontimeyo #titanseanyo #yo #positivevibes…,FALSE,0,NA,3/6/19 3:30,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",CoolBrz24,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
3,Here comes the censorship. Bunch of whiners. 67K pediatricians in US and likely most will submit to this type of op…,FALSE,2,NA,3/6/19 2:46,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",CollChris,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
4,@IsCoolScience @autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation FACT: Childhood vaccines do contai…,FALSE,0,IsCoolScience,3/6/19 2:45,TRUE,1.10E+18,1.10E+18,1970818394,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
5,1 minute later she vomited all over me. #sickbaby #sickmama #flu #stomachvirus #mysteryillness,FALSE,1,NA,3/6/19 2:05,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",MrsPikeChem,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
6,Study discovers possible solution to deadly #flu #virus; … … … @healthcareasia,FALSE,0,NA,3/6/19 1:34,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",healthcareasia,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
7,😷 Did you pick up your cube-mate's cough? Look for OTC products containing the active ingredient dextromethorphan t…,FALSE,1,NA,3/6/19 1:33,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",KnowYourOTCs,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
8,Do you know the differences between a #cold and the #flu? Learn how to recognize when it's more serious than the sn…,FALSE,0,NA,3/6/19 1:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",HealthyMePA,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
9,uhmn maybe come see us instead. we treat all sorts of ailments. #flu #nyc #medicine #urgentcare #webmd,FALSE,0,NA,3/6/19 1:24,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",allmedurgentca1,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
10,"@drfixus Agreed, #MMR (~75-80%) is more effective than #flu vaccine 10-60%, or #HIV (RV144 ~30%). \ALL vaccine Safe…""",FALSE,1,drfixus,3/6/19 1:17,TRUE,1.10E+18,1.10E+18,323869695,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",kuriousmind93,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
