no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
1,Today is the perfect day to go home and read ‘Girltopia’ by HilaryRogers #IDW2019 #FluSeason,FALSE,0,NA,3/8/19 5:05,FALSE,NA,1.10388E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Toltzable,0,FALSE,FALSE,NA,NA,,
2,My abs hurt from coughing so much #FluSeason,FALSE,0,NA,3/8/19 3:45,FALSE,NA,1.10386E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",jwosiack,0,FALSE,FALSE,NA,NA,,
3,There is a lot of misinformation out there regarding the flu. @HarvardHealth tries to dispel the 10 most common my…,FALSE,0,NA,3/8/19 3:32,TRUE,NA,1.10386E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",PHIAirMed,0,FALSE,FALSE,NA,NA,,
4,Take Care Of Your Hands!! #Winter #FluSeason #Health #Skincare #Germs,FALSE,1,NA,3/8/19 3:07,FALSE,NA,1.10385E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",lulabelldesigns,1,FALSE,FALSE,NA,NA,,
5,Thanks for the love @ktvu #WelloStation #daycareowl #childcare #healthcare #children #daycare #bayarea #technews…,FALSE,0,NA,3/8/19 3:02,TRUE,NA,1.10385E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",akritiandco,0,FALSE,FALSE,NA,NA,,
6,Apparently holding your breath for 10 seconds isn’t long enough when someone coughs next to you to avoid getting si…,FALSE,0,NA,3/8/19 2:44,TRUE,NA,1.10385E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KowVarner,0,FALSE,FALSE,NA,NA,,
7,#Fluseason is upon us and germs are coming at us from all directions. It's well worth arming yourself against aches…,FALSE,0,NA,3/8/19 1:01,TRUE,NA,1.10382E+18,NA,"<a href=\http://hearsaysystems.com\"" rel=\""nofollow\"">Hearsay Social</a>""",danders_coop,0,FALSE,FALSE,NA,NA,,
8,The flu took me down for a while. Getting better though. Hope everyone else is feeling okay. #Flu #FluSeason #Eww,FALSE,0,NA,3/8/19 0:54,FALSE,NA,1.10382E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",ArnettaReed14,0,FALSE,FALSE,NA,NA,,
9,#Fluseason is here. Germs are everywhere. Even in your car. Disinfecting wipes help clean bacteria-prone surfaces l…,FALSE,0,NA,3/8/19 0:30,TRUE,NA,1.10382E+18,NA,"<a href=\http://hearsaysystems.com\"" rel=\""nofollow\"">Hearsay Social</a>""",ClearviewCoop,0,FALSE,FALSE,NA,NA,,
10,"AHHHH CHOOOOO!!! If you've spent time with little kids, you know someone is always wiping snot on their sleeve, or…",FALSE,0,NA,3/7/19 22:26,TRUE,NA,1.10378E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",LRoweParker,0,FALSE,FALSE,NA,NA,,
11,Our Health Educators frequently present in the lobbies of the department to discuss and share important information…,FALSE,0,NA,3/7/19 21:34,TRUE,NA,1.10377E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",NewarkDHCW,0,FALSE,FALSE,NA,NA,,
12,"Handwashing habits improve when #fluseason hits, survey shows. #WorkerWellness",FALSE,0,NA,3/7/19 19:47,FALSE,NA,1.10374E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",powerlinesinc,0,FALSE,FALSE,NA,NA,,
13,#FluFact: We received reports of 550 #flu-related hospitalizations this #fluseason. Most in people over age 50. Ant…,FALSE,0,NA,3/7/19 18:05,TRUE,NA,1.10372E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",TuSNHD,0,FALSE,FALSE,NA,NA,,
14,Did you know that #FluSeason can last all the way through May? Protect your child and others by getting the flu sho…,FALSE,0,NA,3/7/19 18:05,TRUE,NA,1.10372E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",FuturePEDpc,0,FALSE,FALSE,NA,NA,,
16,The CDC warns about a second wave of influenza across the Mid-Atlantic. @13AdrianaDeAlba spoke with Patient First's…,FALSE,0,NA,3/7/19 17:33,TRUE,NA,1.10371E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",PatientFirst,1,FALSE,FALSE,NA,NA,,
17,ID rounding... still seeing Flu!@CMC_IM #fluseason,FALSE,2,NA,3/7/19 17:07,FALSE,NA,1.1037E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",mkleona,0,FALSE,FALSE,NA,NA,,
