no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,
1,Don't forget to change your #toothbrush after you're sick! #stayhealthy #fluseason,FALSE,0,NA,3/6/19 2:51,FALSE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",FraserVDentist,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
3,A love note to my fellow educators... #fluseason,FALSE,0,NA,3/6/19 2:38,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",JordansJargon,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
4,Getting chapped lips suck. But having a runny ass nose and then getting some chapped nostrils is worse. #fluseason,FALSE,0,NA,3/6/19 2:33,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Monicaminty,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
5,Hand sanitizer greeting for morning meeting! #responsiveclassroom #WeAreDPS #fluseason #FalconsSoar,FALSE,5,NA,3/6/19 1:48,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",MsNash1st,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
6,"Just charcoal-clay-masked, bubble-bathed my way through this damn cold. Charcoal removes toxins right? Totally coun…",FALSE,0,NA,3/6/19 1:36,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",cdubbs420,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
7,"Being sick SUCKS 😷🤧🤒 but at least I have a cute boyfriend who is playing doctor, nurse, masseuse and all around bes…",FALSE,0,NA,3/6/19 1:09,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",MirandaLBusby,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
8,"Apparently, wearing onions on the backs of your feet helps cure colds. After 10 days of suffering, I’ll try almost…",FALSE,3,NA,3/6/19 0:25,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",MeredithSchorr,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
9,Not the one when you finally finish work for 2 weeks annual leave and you’ve got a chest infection 😭😭😭😭 #FluSeason,FALSE,0,NA,3/5/19 23:42,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",SugaTaeKookie95,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
10,I mean it is #Fluseason 🤫🤧,FALSE,0,NA,3/5/19 23:36,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",EmpressJordann,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
11,#Fluseason is here. Germs are everywhere. Even in your car. Disinfecting wipes help clean bacteria-prone surfaces l…,FALSE,1,NA,3/5/19 23:00,TRUE,NA,1.10E+18,NA,"<a href=\http://hearsaysystems.com\"" rel=\""nofollow\"">Hearsay Social</a>""",jeanettespinel1,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
