no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
1,@ashok_philip @pseudolokun Here is another article on vaccinated people spreading viruses and infecting others.…,FALSE,0,ashok_philip,3/8/19 5:25,TRUE,1.10E+18,1.10E+18,9.50E+17,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
2,"@patrokhlus What do you call it when you say NO, but against your will, someone penetrates your body, makes you fee…",FALSE,0,patrokhlus,3/8/19 5:01,TRUE,1.10E+18,1.10E+18,1540112238,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
3,Still time to have a #flushot 💉 😷 Everything you need to know about the flu vaccine - FACTS not MYTHS Dr. Lightma…,FALSE,0,NA,3/8/19 4:48,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",hyltonlightman,0,FALSE,FALSE,NA,NA,
4,"@joetgw You say NO to the doctor; My body my choice, but he ignores your cry. The body is penetrated, pain is felt,…",FALSE,0,joetgw,3/8/19 4:44,TRUE,1.10E+18,1.10E+18,80225525,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
5,"4,250% Increase in Fetal Deaths Reported to VAERS After #FluShot Given to Pregnant Women",FALSE,4,NA,3/8/19 4:15,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ViraBurnayeva,4,FALSE,FALSE,NA,NA,
6,"BREAKING: FDA Sued as CDC Recommends Untested, Unlicensed #Flu #Vaccine for Pregnant Women",FALSE,6,NA,3/8/19 4:13,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ViraBurnayeva,2,FALSE,FALSE,NA,NA,
7,#FluShot is the ONLY #vaccine with short expiration. At the end of the season all unused ones should be discarded.…,FALSE,5,NA,3/8/19 2:20,TRUE,NA,1.10E+18,NA,"<a href=\http://ViraBurnayeva.com\"" rel=\""nofollow\"">Vaccines and Homeopathy News</a>""",ViraBurnayeva,5,FALSE,FALSE,NA,NA,
8,Still plenty of time to get that #FluShot at @vaughn_pharmacy,FALSE,0,NA,3/8/19 0:58,FALSE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",vaughn_pharmacy,0,FALSE,FALSE,NA,NA,
9,Keep your kids safe this flu season! #flufacts #medimobile #health #vaccinations #flushot #kids,FALSE,0,NA,3/7/19 23:15,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",Medimobile1,0,FALSE,FALSE,NA,NA,
10,"@C_Mulroney I don't need #flushot because I have \La Technique\"" to fight the #flu with success.""",FALSE,0,C_Mulroney,3/7/19 22:34,FALSE,1.06E+18,1.10E+18,68711727,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Flu_Killer,0,FALSE,FALSE,NA,NA,NA
