no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
1,@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation The aluminum level in the autistic brain was so h…,FALSE,0,autism_vaccine,3/6/19 2:09,TRUE,1.10E+18,1.10E+18,1.10E+18,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
2,@AlexMurdoch7 @CryptoNLtrader @thereal_truther @doctorsensation Vaccines are the steaming pile of dung you refer to…,FALSE,0,AlexMurdoch7,3/6/19 2:01,TRUE,1.10E+18,1.10E+18,991145522,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
3,This year’s #flushot was far more effective than last year's. Here’s why,FALSE,0,NA,3/6/19 0:28,FALSE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",yychealthnut,0,FALSE,FALSE,NA,NA,
4,Wash your hands folks! @Allegheny_Co has the second highest number of #flu cases in Pennsylvania. #Flushot…,FALSE,0,NA,3/5/19 23:18,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DavidSpurgeon4J,1,FALSE,FALSE,NA,NA,
5,"Have you gotten your flu shot? If not, call St. Luke and we'll set you up! #StLuke #FluShot",FALSE,0,NA,3/5/19 23:14,FALSE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",StLukeMT,0,FALSE,FALSE,NA,NA,
6,"Can the #flushot cause a pregnant woman to miscarry? No, absolutely not.",FALSE,2,NA,3/5/19 22:04,FALSE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",VaccinateIN,0,FALSE,FALSE,NA,NA,
7,"#InfectiousDiseases A-Z: If you skipped getting an annual #FluShot, @DrPritishTosh says it's not too late! Nearly 2…",FALSE,16,NA,3/5/19 21:28,TRUE,NA,1.10E+18,NA,"<a href=\https://www.sprinklr.com\"" rel=\""nofollow\"">Sprinklr</a>""",MayoClinic,14,FALSE,FALSE,NA,NA,
8,The #flushot benefits everyone in the community: #fluvaccines,FALSE,0,NA,3/5/19 21:00,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",CareDox,0,FALSE,FALSE,NA,NA,
9,Do #Birds and #Airplanes have to get a “Flew Shot?” 🤔 #ThoughtoftheDay #FluShot,FALSE,0,NA,3/5/19 20:36,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Mark_MeWords,0,FALSE,FALSE,NA,NA,
10,"@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation So you, a pro vaccine advocate, will agree that c…",FALSE,0,autism_vaccine,3/5/19 19:48,TRUE,1.10E+18,1.10E+18,1.10E+18,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
11,"@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation Oh, I forgot to mention that the MMR vaccine was…",FALSE,5,CoercedTaxSlave,3/5/19 19:42,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,5,FALSE,FALSE,NA,NA,
12,"@autism_vaccine @thereal_truther @CryptoNLtrader @doctorsensation So if I change the word (semantics) to \doses\"" th…""",FALSE,8,autism_vaccine,3/5/19 19:34,TRUE,1.10E+18,1.10E+18,1.10E+18,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,8,FALSE,FALSE,NA,NA,
13,"How does our in-school, no-cost #flushot program work? Learn more:",FALSE,0,NA,3/5/19 19:10,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",CareDox,0,FALSE,FALSE,NA,NA,
14,@emartinez78987 @DerekCressman It is also common knowledge among immunologists that many vaccines are not even desi…,FALSE,0,CoercedTaxSlave,3/5/19 19:05,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
15,"Back to the flu shot thing: If the government mandated the flu shot every year, we would save thousands of America…",FALSE,2,colorblindk1d,3/5/19 18:58,TRUE,1.10E+18,1.10E+18,7.12E+17,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",colorblindk1d,1,FALSE,FALSE,NA,NA,
16,"Happy to see some patients are still asking for the #flushot. Late is better than never, especially considering t…",FALSE,5,NA,3/5/19 18:52,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DrPChouinard,3,FALSE,FALSE,NA,NA,
17,Some ways to make sure you don't contract or spread the flu: 1) Get a #FluShot 2) Cover ur mouth &amp; hands when you…,FALSE,2,NA,3/5/19 17:34,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",KCMOHealthDept,0,FALSE,FALSE,NA,NA,
18,"Ugh, the flu sucks. Ant, Hetti, and I are walking zombies right now. #flusucks #zombie #flushot",FALSE,0,NA,3/5/19 17:24,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",AuthorLMFry,0,FALSE,FALSE,NA,NA,
19,Don’t let the #flu keep you from celebrating Mardi Gras – there’s still time to get your flu shot! #flushot…,FALSE,0,NA,3/5/19 17:00,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",QualityInsights,0,FALSE,FALSE,NA,NA,
20,Attend the #FDA's 2018-2019 #Flu #vaccine selection #WEBEX Wednesday at you want to und…,FALSE,0,Potrblog,3/5/19 16:55,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA,
21,#FLUSHOT #VACCINES So called smart people believe these Scientist. Those shots are not good for EVERYONE.-PERIOD My…,FALSE,1,NA,3/5/19 15:47,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",tatumjobs,0,FALSE,FALSE,NA,NA,
22,The #flu season isn’t over yet. There is still time to get the #flushot. Our Nereyda Franco shares more via…,FALSE,2,NA,3/5/19 14:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",MontefioreNYC,1,FALSE,FALSE,NA,NA,
23,"On WCAX Facebook page for this article, in the comments it was stated this child had the Flu Shot! #Vermont child d…",FALSE,0,NA,3/5/19 13:34,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",klp1965,0,FALSE,FALSE,NA,NA,
24,"Vaccines DO NOT require double blind placebo studies. Did you know that for testing FLUBLOK vaccine, other #Flu…",FALSE,10,NA,3/5/19 6:17,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ViraBurnayeva,7,FALSE,FALSE,NA,NA,
25,@bob_hound @CryptoNLtrader @thereal_truther @doctorsensation Here is a must read book that has over 400 studies sho…,FALSE,0,CoercedTaxSlave,3/5/19 5:56,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
26,@bob_hound @CryptoNLtrader @thereal_truther @doctorsensation If you want scientific studies showing the numerous da…,FALSE,0,bob_hound,3/5/19 5:32,TRUE,1.10E+18,1.10E+18,1424303576,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
27,@AdamSchiff #BigPharma schill #CORRUPTION #kickbacks #lobbying #DrainTheSwamp #flushot,FALSE,0,AdamSchiff,3/5/19 5:09,FALSE,NA,1.10E+18,133028836,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",strait328,0,FALSE,FALSE,NA,NA,
28,"We should know more from the Wed 3/6 #VRBPAC #FluShot meeting, until then this chart from the Oct meeting indicates…",FALSE,0,Potrblog,3/5/19 3:12,TRUE,1.10E+18,1.10E+18,292493063,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Potrblog,0,FALSE,FALSE,NA,NA,
29,Are you avoiding getting the #FluShot because you’ve heard the vaccine can be dangerous and cause side effects? Her…,FALSE,3,NA,3/4/19 22:56,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",bcbssc,1,FALSE,FALSE,NA,NA,
30,"#DidYouKnow multi-dose #Flu #vaccines - the ones that most people are exposed to, like FLUZONE, FLUVIRIN, FLUCELVAX…",FALSE,2,NA,3/4/19 22:40,TRUE,NA,1.10E+18,NA,"<a href=\http://ViraBurnayeva.com\"" rel=\""nofollow\"">Vaccines and Homeopathy News</a>""",ViraBurnayeva,3,FALSE,FALSE,NA,NA,
31,Need a #FluShot,FALSE,1,NA,3/4/19 21:59,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ksiielpaso,1,FALSE,FALSE,NA,NA,
32,"How can you tell if you have a cold or the flu? Check out this infographic to see which symptoms you have, and if y…",FALSE,0,NA,3/4/19 21:23,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",FQHealth,0,FALSE,FALSE,NA,NA,
33,"Nurse Warns of \Biogenics [Biologics]\"" &amp; Forced #Flu Shots Happening in US Hospitals""",FALSE,0,NA,3/4/19 20:20,TRUE,NA,1.10E+18,NA,"<a href=\http://ViraBurnayeva.com\"" rel=\""nofollow\"">Vaccines and Homeopathy News</a>""",ViraBurnayeva,1,FALSE,FALSE,NA,NA,
34,Spot flu symptoms in kids and know your treatment options. #flushot #fluseason #flu,FALSE,0,NA,3/4/19 17:09,FALSE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",ParkNicollet,0,FALSE,FALSE,NA,NA,
35,"The truth is, the flu shot won’t give you the flu, but not getting it can mean dire consequences for you and others…",FALSE,1,NA,3/4/19 17:02,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",WalkerFamCare,0,FALSE,FALSE,NA,NA,
36,"Some flu vaccines are made with a bit of egg protein, so those with an egg allergy shouldn't seek out this vaccine.…",FALSE,0,NA,3/4/19 16:58,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",StMichaelsER,0,FALSE,FALSE,NA,NA,
37,@jimmyfallon looks scared getting #FluShot. #Bravery is doing the right thing even when scared. TY for protecting b…,FALSE,0,jimmyfallon,3/4/19 16:55,TRUE,NA,1.10E+18,15485441,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",IAmTheHerd,0,FALSE,FALSE,NA,NA,
38,"@CryptoNLtrader @thereal_truther @doctorsensation With 72 vaccines on its childhood schedule, the US has the most c…",FALSE,1,CoercedTaxSlave,3/4/19 14:13,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,1,FALSE,FALSE,NA,NA,
39,"If you haven’t already gotten your #FluShot, it’s not too late. Stop by our pharmacy today!",FALSE,0,NA,3/4/19 14:01,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",WestConcordRx,0,FALSE,FALSE,NA,NA,
42,"#Flu activity is widespread across the U.S., but we haven’t hit peak season yet. It's not too late to get your…",FALSE,0,NA,3/4/19 13:39,TRUE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",NoraConnect,0,FALSE,FALSE,NA,NA,
43,I love how my family has stayed healthy this winter! Are your kids picky habits ? Have they missing school or you…,FALSE,1,NA,3/4/19 6:56,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",mikesno1girl,0,FALSE,FALSE,NA,NA,
44,#DidYouKnow that #GMO #Flu vaccine Flublock contains insect virus #DNA &amp; armyworm cell proteins?…,FALSE,1,NA,3/4/19 6:23,TRUE,NA,1.10E+18,NA,"<a href=\http://ViraBurnayeva.com\"" rel=\""nofollow\"">Vaccines and Homeopathy News</a>""",ViraBurnayeva,3,FALSE,FALSE,NA,NA,
45,A two-phase #STUDY provided new evidence supporting an association between #Thimerosal-containing #vaccines &amp; the s…,FALSE,1,NA,3/4/19 5:03,TRUE,NA,1.10E+18,NA,"<a href=\http://ViraBurnayeva.com\"" rel=\""nofollow\"">Vaccines and Homeopathy News</a>""",ViraBurnayeva,2,FALSE,FALSE,NA,NA,
46,#FluShot Critical for #COPD Sufferers - Newsmax -,FALSE,2,NA,3/4/19 2:56,FALSE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",ChronicRights,3,FALSE,FALSE,NA,NA,
