no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
1,Excellent piece on the importance of #biosecurity to protect your business from the threat of #Avian #Influenza…,FALSE,1,NA,3/8/19 6:49,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",BFREPA,0,FALSE,FALSE,NA,NA,
2,A team of international and Hokkaido Uni researchers participated in a #CDC-issued challenge to help forecast the U…,FALSE,1,NA,3/8/19 5:59,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HokkaidoUni,1,FALSE,FALSE,NA,NA,
3,Great discussion at MCMS tonite. John Barry spoke about the flu pandemic of 1918. Killed more people in 24 weeks th…,FALSE,0,NA,3/8/19 4:05,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",mkleona,0,FALSE,FALSE,NA,NA,
4,Quick Exit #BreatheDeep #NoJustKidding #Run #Influenza,FALSE,0,NA,3/8/19 1:43,FALSE,NA,1.10E+18,NA,"<a href=\http://publicize.wp.com/\"" rel=\""nofollow\"">WordPress.com</a>""",CookiesbyDave,0,FALSE,FALSE,NA,NA,
5,A small-molecule fusion inhibitor of #influenza virus is orally active in mice,FALSE,2,NA,3/8/19 1:14,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",thelonevirologi,0,FALSE,FALSE,NA,NA,
6,"@genentech supplemental new drug application for Xofluza, being developed to treat patients with #influenza at high…",FALSE,0,genentech,3/8/19 0:45,TRUE,NA,1.10E+18,16150688,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,0,FALSE,FALSE,NA,NA,
7,One of the eight issues in focus in SLO County’s new five-year community health improvement plan: infectious diseas…,FALSE,0,NA,3/7/19 23:35,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",SLOPublicHealth,0,FALSE,FALSE,NA,NA,
8,This is on behalf of another #theatre company we know here in #Devon - #free historical event offered to local scho…,FALSE,2,NA,3/7/19 23:09,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",sdevonplayers,2,FALSE,FALSE,NA,NA,
9,Attention @ambrosia_ca shoppers Doncaster @coldQ1 is there #coldQ natural oral spray designed to help your body fig…,FALSE,1,NA,3/7/19 22:00,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",coldQ1,0,FALSE,FALSE,NA,NA,
10,"USA: States beginning to update Weekly #Influenza reports. New fatalities reported from (tot); Alabama (55), Arizon…",FALSE,0,NA,3/7/19 21:40,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",RonanKelly13,1,FALSE,FALSE,NA,NA,
11,Antiviral agents compared for treatment of #influenza:,FALSE,0,NA,3/7/19 21:40,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",medicalbag,0,FALSE,FALSE,NA,NA,
12,.@IDSAinfo paper on study in Chinese hospital adds to previous research indicating #influenza A is more severe than…,FALSE,0,NA,3/7/19 21:40,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",Contagion_Live,0,FALSE,FALSE,NA,NA,
13,The 2019 Preparedness Summit offers sharing sessions geared towards preparing #publichealth professionals for a pos…,FALSE,2,NA,3/7/19 21:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",prepsummit,1,FALSE,FALSE,NA,NA,
14,Another flu strain is on the rise in the area. This one tends to affect seniors the most. It's not too late to get…,FALSE,3,NA,3/7/19 21:06,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",vcchealthcare,0,FALSE,FALSE,NA,NA,
15,FDA accepts application for Xofluza #influenza treatment,FALSE,0,NA,3/7/19 21:01,FALSE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",RTmagazine,0,FALSE,FALSE,NA,NA,
16,"Just like #influenza this year, the flu bug is still out there...although this one is more fun to catch!!…",FALSE,0,NA,3/7/19 20:34,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",jctar1,0,FALSE,FALSE,NA,NA,
17,My first thought about this article: Agent Orange would be more than happy to use this against the people of the U.…,FALSE,0,NA,3/7/19 20:29,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Smitten_224,0,FALSE,FALSE,NA,NA,
18,#Influenza is now widespread in Minnesota. It's not too late to get your vaccination to keep you and others healthy!,FALSE,1,NA,3/7/19 20:10,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MinnPharmAssoc,0,FALSE,FALSE,NA,NA,
19,How flu season can affect hospital finances #flu #influenza #revenuecycle #revcycle,FALSE,0,NA,3/7/19 20:03,FALSE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",Change_HC,0,FALSE,FALSE,NA,NA,
20,"#Influenza is still spreading in #Vermont, Remember that the #flu can be dangerous &amp; sometimes fatal. Take steps to…",FALSE,0,NA,3/7/19 19:39,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",healthvermont,0,FALSE,FALSE,NA,NA,
21,"To help stop the spread of the flu, please limit the number of visitors accompanying you when coming to the Genesis…",FALSE,1,NA,3/7/19 19:24,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",GenesisHCS,2,FALSE,FALSE,NA,NA,
22,#GeorgiaState researcher Dr. Baozhong Wang is fighting #influenza #TheStateWay! He's received a $3.86 million feder…,FALSE,1,NA,3/7/19 19:20,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",gsu_news,0,FALSE,FALSE,NA,NA,
23,I've tried to write a tweet like 10 times and I ended up deleting all of them. I'm just excited it's my birthday an…,FALSE,5,NA,3/7/19 19:06,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",AmandaGrrrace,0,FALSE,FALSE,NA,NA,
24,My oldest Munchkin was sent home from school with a high fever which means both Munchkins have the flu. #Influenza #Homefront #Nursing,FALSE,2,NA,3/7/19 18:35,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HeartofTARDIS,0,FALSE,FALSE,NA,NA,NA
25,"#Tamiflu (oseltamivir) is the most common \treatment\"" for #influenza"," and a 2015 meta-analysis found a 21% shorter…""",FALSE,0,NA,3/7/19 18:15,TRUE,NA,1.10E+18,NA,"<a href=\https://www.semrush.com/\"" rel=\""nofollow\"">SEMrush Social Media Tool</a>""",EBmedicine,1,FALSE,FALSE,NA,
26,H3N2 is increasing across San Diego county and tends to affect seniors the most. #FluKills #VaccinesWork #influenza,FALSE,3,NA,3/7/19 17:38,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",KellyMotadelMD,2,FALSE,FALSE,NA,NA,
27,The CDC warns about a second wave of influenza across the Mid-Atlantic. @13AdrianaDeAlba spoke with Patient First's…,FALSE,0,NA,3/7/19 17:33,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",PatientFirst,1,FALSE,FALSE,NA,NA,
28,"@nytopinion \La Technique\"" is more effective to fight the #influenza then a #flushot""",FALSE,1,nytopinion,3/7/19 17:26,FALSE,1.10E+18,1.10E+18,16686144,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Flu_Killer,0,FALSE,FALSE,NA,NA,
29,#homelessness kills: #sandiego had 20 deaths from a #hepatitis outbreak that ravaged unsheltered residents. Hundred…,FALSE,0,NA,3/7/19 17:14,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",LoriSaldanaSD,0,FALSE,FALSE,NA,NA,
30,197 Mumps Cases Reported at 3 ICE Facilities During 2019 confirmed 51 facilities hav…,FALSE,0,NA,3/7/19 16:55,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",donaldhackett,1,FALSE,FALSE,NA,NA,
31,"Interesting study (#Seattle only, I'm afraid) to try and map the spread of flu. Download the app (iOS only), if you…",FALSE,0,NA,3/7/19 16:50,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",kyleserikawa,0,FALSE,FALSE,NA,NA,
32,"I was driving to work this morning, and I almost caught a cold. Unfortunately, I couldn't accelerate fast enough. T…",FALSE,3,NA,3/7/19 16:45,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",SciFiGuy1,1,FALSE,FALSE,NA,NA,
33,"A new issue of #Eurosurveillance has been published, with a special focus on Hepatitis E:",FALSE,3,NA,3/7/19 16:20,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",Eurosurveillanc,7,FALSE,FALSE,NA,NA,
34,Will be important to get a recognition of the benefit of #influenza antivirals on preventing complications,FALSE,1,NA,3/7/19 16:12,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",AmeshAA,1,FALSE,FALSE,NA,NA,
35,Check out the March Issue of the International Journal of Infectious Diseases #IJID #openaccess #hepatitis…,FALSE,2,NA,3/7/19 15:45,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",ISID_org,1,FALSE,FALSE,NA,NA,
37,New Review: The human antibody response to influenza A virus infection and vaccination by @florian_krammer…,FALSE,43,NA,3/7/19 15:31,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",NatRevImmunol,26,FALSE,FALSE,NA,NA,
38,"#Influenza activity in Ireland - Week 9, 2019",FALSE,0,NA,3/7/19 15:23,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",hpscireland,1,FALSE,FALSE,NA,NA,
39,"@molli888 While the #influenza #vaccine uses aluminum salts as adjuvants, this is NOT what people mean when they sa…",FALSE,0,ReserDp,3/7/19 15:15,TRUE,1.10E+18,1.10E+18,1.04E+18,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",ReserDp,0,FALSE,FALSE,NA,NA,
40,"#Influenza-like illness (ILI) rates are now below the Irish baseline threshold (17.5 per 100,000 population). ILI a…",FALSE,0,NA,3/7/19 15:10,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",hpscireland,1,FALSE,FALSE,NA,NA,
41,"The sentinel GP influenza-like illness (ILI) consultation rate was 13.9 per 100,000 population in week 9 2019. This…",FALSE,0,NA,3/7/19 15:08,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",hpscireland,1,FALSE,FALSE,NA,NA,
42,Mayo Clinic Minute: The Flu Season Is Not Over And It's Not Too Late To Get A Flu Shot #Influenza #FluShot,FALSE,0,NA,3/7/19 15:07,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Bossoft,0,FALSE,FALSE,NA,NA,
43,All indicators of #Influenza activity decreased significantly during week 9 2019 (week ending 3 March 2019) compare…,FALSE,1,NA,3/7/19 15:06,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",hpscireland,1,FALSE,FALSE,NA,NA,
44,"In otherwise #healthy patients, #influenza treatment with baloxavir marboxil was found to be comparable, and on som…",FALSE,0,NA,3/7/19 15:01,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",PulmAdvisor,0,FALSE,FALSE,NA,NA,
45,Getting a flu shot while hospitalized lowers the chance of a heart attack via…,FALSE,0,NA,3/7/19 14:40,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Larry_Svenson,0,FALSE,FALSE,NA,NA,
46,One-Hundred Eleven Die from #Influenza in #Greece This Year,FALSE,0,NA,3/7/19 14:17,FALSE,NA,1.10E+18,NA,"<a href=\https://dlvrit.com/\"" rel=\""nofollow\"">dlvr.it</a>""",GreekReporter,1,FALSE,FALSE,NA,NA,
47,"Did you know that children, pregnant women, adults 65 and older, and people with medical conditions have higher ris…",FALSE,2,NA,3/7/19 13:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",CapitalRegional,0,FALSE,FALSE,NA,NA,
48,More evidence for the usefulness of POCTs for #RSV and #influenza in ED. #RespiratorySyncytialVirus @RESCEUproject…,FALSE,1,NA,3/7/19 13:07,TRUE,NA,1.10E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",sbdrysdale,0,FALSE,FALSE,NA,NA,
49,Diet may be an important factor for Influenza A virus exposure in wild African mammals #influenza #virus #diet…,FALSE,0,NA,3/7/19 12:58,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",GrrlScientist,0,FALSE,FALSE,NA,NA,
50,"The influenza virus has hit the nation hard this year. The Flu strain H1N1 of Influenza, however, has taken a hike…",FALSE,0,NA,3/7/19 12:55,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",starhospitalsin,1,FALSE,FALSE,NA,NA,
51,My 8 year old grandson has the real flu and strep. He’s so sick and he had a flu shot. He has 1 and 3 year old sist…,FALSE,0,NA,3/7/19 12:47,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",DanaLBrownBooks,0,FALSE,FALSE,NA,NA,
52,@Oluwatodimu91 @Kiiynah @ZinaSpeaks Lol... 😁😁😁 You got me with this! Its both an #Epic reply and a #Savage one too.…,FALSE,0,Oluwatodimu91,3/7/19 12:40,TRUE,1.10E+18,1.10E+18,1.08E+18,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Tendermartin,0,FALSE,FALSE,NA,NA,
53,#Influenza: what are the consequences of the disease? Experts from different parts of the world explain it in video…,FALSE,0,NA,3/7/19 11:52,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",SanofiBelgium,0,FALSE,FALSE,NA,NA,
54,Updated #influenza preprint: Identifying genetic determinants of complex phenotypes from whole genome sequence data,FALSE,0,NA,3/7/19 11:39,FALSE,NA,1.10E+18,NA,"<a href=\https://twitter.com/outbreaksci\"" rel=\""nofollow\"">preprint-alert</a>""",outbreaksci,0,FALSE,FALSE,NA,NA,
55,Virology researchers have come together to publish free educational resources about influenza - find them at…,FALSE,24,NA,3/7/19 9:31,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CVRinfo,13,FALSE,FALSE,NA,NA,
56,Influenza vaccination is safe in #pediatric #kidney #transplant recipients and should be encouraged to protect th…,FALSE,8,NA,3/7/19 9:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",drive_eu,3,FALSE,FALSE,NA,NA,
