no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,
1,Sigh... it’s exhausting being ill 😷 🤒 🤧 I am ready for some warm weather and sunshine to heal my body!! #noMakeup…,FALSE,0,NA,3/6/19 3:10,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",MyBabiesR2Cute,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
2,The human antibody response to #influenza A virus infection and vaccination @IcahnMountSinai,FALSE,2,NA,3/6/19 2:20,FALSE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",infdisease_news,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
3,The boys get a W against mountain pointe 9-5. Trevor Long with his first homer of the season. @enzo_apodaca went 2-…,FALSE,10,NA,3/6/19 2:03,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ChapBaseball_,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
4,"#Medicine and the #media with Amesh Adalja, MD @AmeshAA #vaccines #antibiotics #Lyme #influenza",FALSE,1,NA,3/6/19 1:55,FALSE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",bactiman63,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
5,My youngest Munchkin has the flu. I'm the one who had to swab his nose while Mom held him. It was not pleasant for…,FALSE,1,NA,3/6/19 0:26,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",HeartofTARDIS,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
6,.@NIH we are committed to transparency and safe and secure conduct of research which involved dangerous pathogens;…,FALSE,2,NA,3/5/19 23:38,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CWolinetzNIH,2,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
7,"'If we could prevent #influenza #virus crossing from wild birds into chickens, we would stop the next pandemic at s…",FALSE,0,NA,3/5/19 22:46,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",PlanetClassroom,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
8,"@amyklobuchar @SenMarkey @SenTinaSmith I wonder if the universal #flu vaccine is better then \La Technique\"" to fight the #Influenza""",FALSE,0,amyklobuchar,3/5/19 22:26,FALSE,1.10E+18,1.10E+18,33537967,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Flu_Killer,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
9,"Currently, #influenza activity remains elevated in the United States, with 49 states reporting widespread activity.…",FALSE,0,NA,3/5/19 22:06,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",FluidsAndHealth,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
10,"India: Latest official #Influenza A/H1N1 figures attached. Media reports are slightly larger with 612 total deaths,…",FALSE,0,NA,3/5/19 22:01,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",RonanKelly13,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
