no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
1,"#U.N. Finds #Israel #Intentionally #Shot #Children, #Journalists &amp; the #Disabled During #Gaza #Protests…",FALSE,0,NA,3/6/19 3:31,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",Lady_Nyla,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
2,as @iPromoNaija @hitz that are @NOTJUSTOK but @superb I @give a @naijareview of this…,FALSE,0,NA,3/6/19 0:35,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",SLsFinestTM,3,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
6,Which one is your shot placement? #lethal #alwayslethal #shot #pick #placement #deerhunting #bowhunting #deerseason,FALSE,16,NA,3/6/19 0:17,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",LethalProds,5,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
7,"#Creative_Nougat #Failure is hard to stomach because of how it feels to fail however, you can't dwell on the…",FALSE,0,NA,3/6/19 0:05,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",create2control,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
8,Ordinary #people owning #dangerous #wild #animals should be absolutely banned #globally. The #Lion &amp; #lioness then…,FALSE,1,NA,3/5/19 23:55,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",GETAnalysis,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
9,#Iditarod2019 How many #dogs will die for human entertainment? How many will be #shot or #chained outside to suffer…,FALSE,0,NA,3/5/19 23:40,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",elle_v__,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
10,"When life gets hard, always remember... #tequila #tequilatuesday #life #remember #shot #shotoftequila…",FALSE,0,NA,3/5/19 22:45,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",tammytatsch,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
11,#LIT 🔥🔥🔥 #SHOT &amp; #EDITED BY @SKULLIOSO 💪🏽💪🏽💪🏽🎬🎬🎬 ON #YOUTUBE OR GO TO 🚀🚀🚀 #CANTBANDAREAL…,FALSE,0,NA,3/5/19 22:05,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",MRNICKELCITY,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
12,Another #shot of me during the #SharePoint and #Office365 #Apps #Event At #Microsoft Hellas. It was a very tiring w…,FALSE,0,NA,3/5/19 22:02,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",GeorgiaKalyva,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
13,"#muse @thatkookie #shot at my office.... #georgechemas_photography #nofilterneeded @ Weehawken, New Jersey",FALSE,0,NA,3/5/19 20:48,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",GeorgeChemas,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
14,Manhattan from Brooklyn . #photo #photographer #photography #photos #photooftheday#photographe #minimalistic …,FALSE,1,NA,3/5/19 20:48,TRUE,NA,1.10E+18,NA,"<a href=\https://ifttt.com\"" rel=\""nofollow\"">IFTTT</a>""",TheSQuirBy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
15,Its really says “Hit me with your best shot”🥊🥊 • • • • • #hit #me #with #your #best #shot #hitmewithyourbestshot…,FALSE,0,NA,3/5/19 20:23,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",reivay1,0,FALSE,FALSE,-97.7475,30.2677,,,,,,,,,,,,,,,,,,,,,,
16,Rocky cliffs on the blue sea . . . #liguria #liguriagram #liguriansea #ligurian_places #lerici #cinqueterre…,FALSE,0,NA,3/5/19 20:20,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",nicolorigo,0,FALSE,FALSE,9.90999,44.07609,,,,,,,,,,,,,,,,,,,,,,
17,"#California Attorney General #XavierBecerra will not two charge #officers who #shot and #killed #StephonClark: \No…""",FALSE,0,NA,3/5/19 20:16,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",NYJusticeSeeker,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
